Year,Passenger,Goods,Total
1976-77,5931,NA,NA
1977-78,6191,NA,NA
1978-79,6050,NA,NA
1979-80,6104,NA,NA
1980-81,6211,NA,NA
1981-82,6251,NA,NA
1982-83,6392,5208,11600
1983-84,6590,5040,11630
1984-85,6690,5110,11800
1985-86,6840,5820,12660
1986-87,7014,5656,12670
1987-88,7124,5786,12910
1988-89,7250,5769,13019
1989-90,7428,5711,13139
1990-91,7398,6020,13418
1991-92,7554,5857,13411
1992-93,7513,5858,13371
1993-94,7607,5258,12865
1994-95,7741,4757,12498
1995-96,7807,4739,12546
1996-97,7899,5178,13077
1997-98,8049,5431,13480
1998-99,8195,5274,13469
1999-00,8354,5395,13749
2000-01,8520,5802,14322
2001-02,8897,5742,14639
2002-03,8854,5907,14761
2003-04,9513,5544,15057
2004-05,8516,7505,16021
2005-06,8750,8645,17395
2006-07,10213,7122,17335
2007-08,10368,7386,17754
2008-09,10988,7530,18518
2009-10,11262,7558,18820
2010-11,11824,7362,19186
2011-12,12335,7375,19710
2012-13,12559,8178,20737
2013-14,12961,8637,21598
